source,data_type,name,noise_type,noise_model,export_name,noise_attr
hel,wfs,Meluselvitys_2017_alue_11_tieliikenne_L_den,road,Lden,hel_road,db_lo
hel,wfs,Meluselvitys_2017_alue_13_maantiet_L_den,hway,Lden,hel_hway,db_lo
hel,wfs,Meluselvitys_2017_alue_15_raitioliikenne_L_den,tram,Lden,hel_tram,db_lo
hel,wfs,Meluselvitys_2017_alue_17_metro_L_den,metro,Lden,hel_metro,db_lo
hel,wfs,Meluselvitys_2017_alue_19_rautatiet_L_den,train,Lden,hel_train,db_lo
syke,shp,KaupKadutLden17.shp,road,Lden,syke_road,Melu_db
syke,shp,MaantieLden17.shp,road,Lden,syke_hway,Melu_db
syke,shp,KaupRaideLden17.shp,road,Lden,syke_tram,Melu_db
syke,shp,KaupMetroLden17.shp,road,Lden,syke_metro,Melu_db
syke,shp,RautatieLden17.shp,road,Lden,syke_train,Melu_db
syke,shp,LentoLden17.shp,road,Lden,syke_air,Melu_db
